label,kind,selection_score,passes_dev_minus_2_trade_preserve,passes_strict_is,dev_return_pct,dev_trades,dev_pf,dev_dd,oos_return_pct,oos_trades,oos_pf,oos_dd,delta_dev_return_pct,delta_dev_trades,delta_oos_return_pct,delta_oos_trades,notes
combo_body108_trend_min_score_a_2.46,combo,33.09107432388263,True,False,65.483233276425,46.0,5.941174961155169,3.846207393448526,41.70520077382307,43.0,2.682165393275575,5.421045134841072,-1.171733094382958,1.0,7.965701854566397,4.0,
combo_body108_trend_min_score_a_2.5,combo,33.09107432388263,True,False,65.483233276425,46.0,5.941174961155169,3.846207393448526,41.70520077382307,43.0,2.682165393275575,5.421045134841072,-1.171733094382958,1.0,7.965701854566397,4.0,
combo_body108_momentum_risk_b_0.016,combo,32.3991259630791,True,True,67.35378076925862,46.0,5.8810436963553885,3.846207393448526,41.08740734674275,43.0,2.60162322606363,5.5123672801569645,0.698814398450665,1.0,7.347908427486075,4.0,
combo_body108_risk_all_1.18,combo,31.976994498382883,True,True,66.97683606457865,46.0,5.914241790344176,3.9014035667033196,41.08082591178571,43.0,2.6392483061617718,5.531228300345045,0.32186969377069374,1.0,7.341326992529034,4.0,
combo_body108_momentum_trail_bars_8,combo,31.58669619250727,True,False,65.51747516667015,46.0,5.958834075670586,3.846207393448526,41.320545768417944,43.0,2.7534952949815175,5.421045134841093,-1.1374912041378025,1.0,7.581046849161268,4.0,
combo_body108_breakout_body0715_eth_long,combo,30.783321469134208,False,False,63.81029206221627,45.0,6.116277161223911,3.8462073934485357,42.33000359513191,42.0,2.8962049465314355,4.647685466035636,-2.844674308591685,0.0,8.590504675875238,3.0,
combo_body108_risk_momentum_1.2,combo,30.695919904255934,True,True,66.69116883468203,46.0,5.897294759462997,3.846207393448526,40.81937890749032,43.0,2.618707618698869,5.480847647393811,0.03620246387407633,1.0,7.0798799882336425,4.0,
combo_body108_risk_breakout_1.25,combo,30.18609276469828,True,False,66.14043776982534,46.0,5.944838624053124,3.846207393448527,40.84219230949628,43.0,2.6647929183330414,5.531197330118635,-0.5145286009826151,1.0,7.102693390239608,4.0,
combo_body108_risk_breakout_1.3,combo,30.18609276469828,True,False,66.14043776982534,46.0,5.944838624053124,3.846207393448527,40.84219230949628,43.0,2.6647929183330414,5.531197330118635,-0.5145286009826151,1.0,7.102693390239608,4.0,
combo_body108_breakout_eth_long_only,combo,29.275262940707833,False,False,62.94401207783585,45.0,5.823587166094002,3.8462073934485357,42.81926894740574,42.0,2.9159615864795696,4.647685466035636,-3.7109542929721044,0.0,9.079770028149063,3.0,
combo_body108_trend_min_stop_atr_1.35,combo,29.273915454210968,True,False,66.18488420902612,46.0,5.5965152174063,5.153942815204222,40.625450436899904,43.0,2.599808538467448,5.620853589421211,-0.47008216178183204,1.0,6.885951517643228,4.0,
combo_body108_risk_breakout_1.2,combo,29.22318879134721,True,False,65.96472366667979,46.0,5.944215277114417,3.8462073934485446,40.63779813882231,43.0,2.6595768517890903,5.50081051762827,-0.6902427041281669,1.0,6.8982992195656365,4.0,
